Penyakit,perasaan_sedih,sedih_berkelanjutan,kehilangan_minat,kehilangan_minat_durasi,kecemasan_berlebihan,cemas_mengganggu,serangan_panik,gejala_fisik_panik,gangguan_tidur,tipe_gangguan_tidur,mudah_marah,kontrol_emosi,sulit_konsentrasi,konsentrasi_mengganggu,perubahan_nafsu_makan,nafsu_makan_meningkat,pikiran_menyakiti_diri,rencana_bunuh_diri,perasaan_tidak_berharga,bersalah_persisten,menarik_diri,isolasi_sengaja,delusi,tipe_delusi,halusinasi,jenis_halusinasi,perubahan_suasana_hati,mood_swing_cepat,perilaku_kompulsif,waktu_kompulsi,kehilangan_motivasi,kehilangan_energi_fisik,takut_sosial,menghindari_sosial,kecanduan,dampak_kecanduan,masalah_identitas,perubahan_identitas,perilaku_impulsif,menyesal_impulsif,disosiasi,disosiasi_sering,mimpi_buruk,mimpi_trauma,ketergantungan_emosional,takut_ditinggalkan,kesulitan_fungsi,bantuan_fungsi,gejala_somatik,intensitas_somatik
Gangguan Kecemasan Umum,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,ya,ya,kadang,ya,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,ya,ya,ya,ya,tidak,tidak,kadang,tidak,ya,ya,ya,kadang
Fobia Spesifik,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Fobia Sosial,kadang,tidak,kadang,tidak,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,ya,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,tidak
Gangguan Panik,kadang,kadang,kadang,kadang,ya,ya,kadang,ya,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,kadang,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Agorafobia,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Gangguan Kecemasan karena Kondisi Medis,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,kadang,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,tidak,ya,ya,ya,kadang
Gangguan Kecemasan karena Zat / Obat,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Gangguan Attachment Reactive,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,kadang,tidak,tidak,tidak,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Selective Mutism,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,ya,kadang,kadang,tidak,kadang,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya
Gangguan Separation Anxiety,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang
Obsessive-Compulsive Disorder,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,kadang,kadang,kadang,tidak
Body Dysmorphic Disorder,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,kadang,kadang,tidak
Hoarding Disorder,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,ya,ya,tidak,tidak,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,kadang,kadang,tidak
Trichotillomania,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya
Excoriation,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
OCD karena Zat / Medis,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Gangguan Pikiran Intrusif Non-klasik,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,tidak,kadang,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Post-Traumatic Stress Disorder,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,ya,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,tidak,kadang,kadang,kadang,tidak
Acute Stress Disorder,ya,ya,ya,kadang,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,tidak,ya,ya,ya,ya,ya,ya,ya,ya
Adjustment Disorder,ya,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,kadang,kadang,kadang,tidak,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,ya,ya,ya,tidak,ya,ya,ya,kadang
Gangguan Reaksi terhadap Peristiwa Traumatis Masa Kecil,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,ya,kadang,kadang,tidak
Gangguan Disosiasi karena Trauma,ya,ya,ya,kadang,ya,ya,kadang,kadang,ya,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya
Skizofrenia,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,ya
Skizoafektif,kadang,kadang,ya,ya,kadang,ya,kadang,kadang,ya,ya,kadang,kadang,ya,ya,ya,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Gangguan Delusional,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,ya,ya,ya,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Gangguan Psikotik Singkat,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Gangguan Psikotik Induksi,kadang,tidak,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,kadang
Gangguan Psikotik karena Zat,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Gangguan Psikotik karena Kondisi Medis,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Kepribadian Ambang,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,ya,ya
Kepribadian Narsistik,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,kadang,ya,ya,ya,kadang,ya,kadang
Kepribadian Antisosial,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,tidak,ya,kadang,ya,kadang,tidak,tidak,ya,ya,kadang,kadang,kadang,tidak
Kepribadian Paranoid,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,ya,ya,tidak,tidak,tidak,tidak,ya,ya,ya,tidak
Kepribadian Skizotipal,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,kadang
Kepribadian Skizoid,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,ya,ya,ya,ya
Kepribadian Obsesif-Kompulsif,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,tidak,ya,ya,ya,ya
Kepribadian Menghindar,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,kadang,tidak,ya,kadang,ya,kadang
Kepribadian Dependen,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,ya,ya,ya,ya,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,ya,tidak
Kepribadian Histrionik,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,tidak,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,tidak,tidak,kadang,kadang,ya,kadang,tidak,tidak,ya,tidak,tidak,tidak,kadang,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya
Attention-Deficit/Hyperactivity Disorder,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,ya,ya,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,ya,ya,ya,kadang,ya,kadang,tidak,tidak,ya,ya,kadang,kadang,kadang,tidak
Autism Spectrum Disorder,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,ya,kadang,tidak,tidak,tidak,tidak,ya,ya,ya,kadang
Gangguan Belajar Spesifik,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,tidak,ya,ya,ya,ya
Gangguan Komunikasi Sosial,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,ya,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya
Gangguan Koordinasi Motorik,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya
Gangguan Tic,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,ya,ya,ya,ya
Anoreksia Nervosa,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang,ya,tidak,tidak,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,ya,ya,ya,kadang
Bulimia Nervosa,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,tidak,kadang,kadang,ya,ya,ya,ya,kadang,tidak,tidak,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,tidak,ya,ya,ya,kadang
Binge-Eating Disorder,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,ya,ya,ya,kadang,ya,kadang,kadang,tidak,kadang,tidak,ya,ya,ya,kadang
Avoidant/Restrictive Food Intake Disorder,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,tidak,ya,ya,kadang,kadang,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,kadang,tidak,ya,ya,ya,kadang
Pica,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,ya,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,ya,ya
Rumination Disorder,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,kadang,kadang,ya,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,ya
Delirium,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,tidak,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,ya,ya
Demensia Alzheimer,kadang,tidak,kadang,kadang,kadang,ya,kadang,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,ya,kadang,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,ya,kadang,ya,ya,tidak,tidak,ya,ya,ya,ya
