,gatal,perubahan_warna,luka,kemerahan,mengelupas,kering,kebas,bengkak,benjolan,nyeri,rambut_rontok,sensitif,bekas_luka,infeksi_jamur,perubahan_sensasi
Chilblains,ya,ya,kadang,ya,kadang,kadang,ya,ya,tidak,ya,tidak,ya,kadang,tidak,ya
Prurigo Nodularis,ya,ya,kadang,ya,ya,kadang,tidak,tidak,ya,kadang,tidak,ya,ya,tidak,kadang
Pachydermoperiostosis,tidak,ya,tidak,kadang,ya,kadang,tidak,ya,ya,kadang,tidak,kadang,tidak,tidak,tidak
Hyperhidrosis,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,kadang,tidak,kadang,kadang
Darier's Disease,ya,ya,kadang,ya,ya,kadang,tidak,tidak,kadang,kadang,tidak,ya,kadang,kadang,tidak
Scleroderma,kadang,ya,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,ya,tidak,ya
Acrodermatitis,ya,ya,ya,ya,ya,kadang,kadang,ya,tidak,ya,tidak,ya,kadang,tidak,kadang
Pityriasis Versicolor,kadang,ya,tidak,kadang,ya,kadang,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,tidak
Lupus Erythematosus,kadang,ya,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,tidak,kadang
Eczema Herpeticum,ya,kadang,ya,ya,ya,kadang,kadang,ya,tidak,ya,tidak,ya,ya,tidak,kadang
Tinea Versicolor,kadang,ya,tidak,kadang,ya,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,tidak
Pachyderma,tidak,ya,tidak,kadang,ya,ya,kadang,tidak,kadang,kadang,tidak,kadang,tidak,tidak,kadang
Keloid Scarring,kadang,ya,tidak,ya,tidak,tidak,tidak,tidak,ya,kadang,tidak,ya,ya,tidak,kadang
Nodul Lymphoma,kadang,ya,tidak,kadang,tidak,tidak,tidak,kadang,ya,kadang,tidak,kadang,kadang,tidak,kadang
Syringoma,tidak,kadang,tidak,kadang,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Lichen Simplex Chronicus,ya,ya,kadang,ya,ya,ya,kadang,kadang,kadang,ya,tidak,ya,ya,tidak,kadang
Erythema Ab Igne,kadang,ya,kadang,ya,kadang,kadang,kadang,tidak,tidak,kadang,tidak,ya,kadang,tidak,kadang
Drug Eruption,ya,ya,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,tidak,kadang
Wegener's Granulomatosis,kadang,ya,ya,ya,kadang,kadang,kadang,ya,ya,ya,tidak,ya,ya,tidak,kadang
Guttate Psoriasis,ya,ya,tidak,ya,ya,kadang,tidak,tidak,tidak,kadang,tidak,ya,kadang,tidak,tidak
Perioral Dermatitis,ya,kadang,tidak,ya,ya,kadang,tidak,kadang,tidak,kadang,tidak,ya,kadang,kadang,tidak
Sweet's Syndrome,kadang,ya,kadang,ya,kadang,tidak,tidak,ya,kadang,ya,tidak,ya,kadang,tidak,kadang
Berylliosis,kadang,ya,kadang,ya,kadang,kadang,tidak,kadang,kadang,kadang,tidak,ya,kadang,tidak,kadang
Granuloma Annulare,kadang,ya,tidak,kadang,kadang,tidak,tidak,tidak,ya,kadang,tidak,kadang,kadang,tidak,kadang
